missing_rate,mechanism,seed,impute_method,day_index,file_name,is_warmup,flow_group,count,sum_abs_error,sum_squared_error,sum_pct_error,count_pct,sum_smape
0.05,mcar_point,42,geo_func_hybrid,57,node_flow_chunk_057.parquet,False,mid_flow,80807.0,12892011.06071587,6504383679.87359,1040659.5532678964,80579.0,651818.8114862501
0.05,mcar_point,42,geo_func_hybrid,57,node_flow_chunk_057.parquet,False,high_flow,60639.0,10689788.74047384,6034840793.324078,511979.3724716509,60616.0,314871.04915987677
0.05,mcar_point,42,geo_func_hybrid,58,node_flow_chunk_058.parquet,False,all,201749.0,32130938.87764669,17582678405.838264,2816776.212818422,200646.0,1715279.225748095
0.05,mcar_point,42,geo_func_hybrid,58,node_flow_chunk_058.parquet,False,low_flow,60439.0,5797216.559194179,2226874324.5502925,884742.7742163597,59531.0,658761.2077468429
0.05,mcar_point,42,geo_func_hybrid,58,node_flow_chunk_058.parquet,False,mid_flow,80536.0,14358971.307021359,8060583134.312823,1533735.1770769013,80356.0,706862.7045775357
0.05,mcar_point,42,geo_func_hybrid,58,node_flow_chunk_058.parquet,False,high_flow,60774.0,11974751.011431158,7295220946.975148,398298.26152516063,60759.0,349655.31342371606
0.05,mcar_point,42,geo_func_hybrid,59,node_flow_chunk_059.parquet,False,all,201749.0,33328351.10627569,18996806891.075787,2283666.7032770147,200571.0,1770147.1414796116
0.05,mcar_point,42,geo_func_hybrid,59,node_flow_chunk_059.parquet,False,low_flow,60544.0,5958064.838047741,2524026722.529623,950312.4550355694,59545.0,677282.8156440584
0.05,mcar_point,42,geo_func_hybrid,59,node_flow_chunk_059.parquet,False,mid_flow,80634.0,14928978.064412862,8576387880.39386,929549.4584394268,80471.0,730638.730965068
0.05,mcar_point,42,geo_func_hybrid,59,node_flow_chunk_059.parquet,False,high_flow,60571.0,12441308.203815086,7896392288.152307,403804.7898020186,60555.0,362225.5948704849
0.05,mcar_point,42,geo_func_hybrid,60,node_flow_chunk_060.parquet,False,all,201749.0,27354037.563407313,13302401374.019634,2199099.338199702,200493.0,1531608.03023987
0.05,mcar_point,42,geo_func_hybrid,60,node_flow_chunk_060.parquet,False,low_flow,60455.0,4953135.010474125,1741205314.0270503,1005478.892254713,59452.0,602900.2740711763
0.05,mcar_point,42,geo_func_hybrid,60,node_flow_chunk_060.parquet,False,mid_flow,81064.0,12064634.711528992,5787141011.357789,818869.8419975672,80838.0,614883.8396227392
0.05,mcar_point,42,geo_func_hybrid,60,node_flow_chunk_060.parquet,False,high_flow,60230.0,10336267.841404188,5774055048.634793,374750.6039474219,60203.0,313823.9165459547
